codeCPV_2,codeCPV_FR
09122000,Propane et butane
09122100,Gaz propane
09122110,Propane liquéfié
09122200,Gaz butane
09122210,Butane liquéfié
09123000,Gaz naturel
09130000,Pétrole et distillats
09131000,Kérosène aviation
09131100,Carburéacteurs de type kérosène
09132000,Essence
09132100,Essence sans plomb
09132200,Essence au plomb
09132300,Essence à l'éthanol
09133000,Gaz de pétrole liquéfié (LPG)
09134000,Gasoils
09134100,Huile diesel
09134200,Carburant diesel
09134210,Carburant diesel (02)
09134220,Carburant diesel (EN 590)
09134230,Biodiesel
09134231,Biodiesel (B20)
09134232,Biodiesel (B100)
09135000,Mazout
09135100,Fioul domestique
09135110,Huiles combustibles à basse teneur en soufre
09200000,"Produits pétroliers, charbon et huiles"
09210000,Préparations lubrifiantes
09211000,Huiles lubrifiantes et agents lubrifiants
09211100,Huiles pour moteurs
09211200,Huiles pour compresseurs
09211300,Huiles pour turbines
09211400,Huiles pour engrenages
09211500,Huiles pour réducteurs
09211600,Huiles destinées aux systèmes hydrauliques et à d'autres usages
09211610,Liquides à usage hydraulique
09211620,Huiles de démoulage
09211630,Huiles anticorrosives
09211640,Huiles utilisées comme isolants électriques
09211650,Liquides de frein
09211700,Huiles blanches et paraffines liquides
09211710,Huiles blanches
09211720,Paraffines liquides
09211800,Huiles minérales et préparations dérivées du pétrole
09211810,Huiles légères
09211820,Huiles minérales
09211900,Huiles lubrifiantes pour traction
09220000,"Vaseline, cires de pétrole et essences spéciales"
09221000,Vaseline et cire de pétrole
09221100,Vaseline
09221200,Paraffine
09221300,Cire de pétrole
09221400,Résidus de pétrole
09222000,Essences spéciales
09222100,White-spirit
09230000,Pétrole (brut)
09240000,Huile et produits dérivés du charbon
09241000,Schiste bitumineux ou kérobitumeux
09242000,Produits dérivés du charbon
09242100,Huile lourde de houille
09300000,"Électricité, chauffage, énergie solaire et nucléaire"
09310000,Électricité
09320000,"Vapeur, eau chaude et produits connexes"
09321000,Eau chaude
09322000,Vapeur
09323000,Chauffage urbain
09324000,Chauffage fourni à grande distance
09330000,Énergie solaire
09331000,Panneaux solaires
09331100,Capteurs solaires pour la production de chaleur
09331200,Modules solaires photovoltaïques
09332000,Installation solaire
09340000,Combustibles nucléaires
09341000,Uranium
09342000,Plutonium
09343000,Matériaux radioactifs
09344000,Radio-isotopes
14000000,"Produits d'exploitation des mines, métaux de base et produits connexes"
14200000,Sable et argile
14210000,"Gravier, sable, pierre concassée et agrégats"
14211000,Sable
14211100,Sable naturel
14212000,"Granulés, gravillons, sable fin, cailloux, gravier, pierraille et pierre concassée, mélanges de pierres, de grave et autres agrégats"
14212100,Cailloux et gravier
14212110,Cailloux
14212120,Gravier
14212200,Agrégats
14212210,Grave
14212300,Pierraille et pierre concassée
14212310,Ballast
14212320,Granit concassé
14212330,Basalte concassé
14212400,Terre
14212410,Terre végétale
14212420,Sous-sol
14212430,Gravillons
14213000,"Macadam, tarmacadam et sable bitumineux"
14213100,Macadam
14213200,Tarmacadam
14213300,Sable bitumineux
14220000,Argile et kaolin
14221000,Argile
14222000,Kaolin
14300000,Produits inorganiques chimiques et engrais minéraux
14310000,Engrais minéraux
14311000,"Calcium naturel, phosphate aluminocalcique et sels de potassium naturel brut"
14311100,Calcium naturel
14311200,Phosphates aluminocalciques
14311300,Sels de potassium naturel brut
14312000,Pyrites de fer
14312100,Pyrites de fer non grillées
14320000,Produits inorganiques chimiques
14400000,Sel et chlorure de sodium pur
14410000,Sel gemme
14420000,Sel marin
14430000,Sel concentré par évaporation et chlorure de sodium pur
14450000,Saumure
14500000,Produits connexes d'exploitation de mines et de carrières
14520000,"Pierres précieuses et semi-précieuses, pierre ponce, émeri, abrasifs naturels, autres minéraux et métaux précieux"
14521000,Pierres précieuses et semi-précieuses
14521100,Pierres précieuses
14521140,Poussière ou poudre de pierres précieuses
14521200,Pierres semi-précieuses
14521210,Poussière ou poudre de pierres semi-précieuses
14522000,"Diamants industriels, pierre ponce, émeri et autres abrasifs naturels"
14522100,Pierre ponce
14522200,Diamants industriels
14522300,Émeri
14522400,Abrasifs naturels
14523000,"Minéraux, métaux précieux connexes et produits associés"
14523100,Minéraux
14523200,Or
14523300,Argent
14523400,Platine
14600000,Minerais de métaux et alliages
14610000,Minerais de métaux
14611000,Minerais de fer
14612000,Minerais de métaux non ferreux
14612100,Minerais de cuivre
14612200,Minerais de nickel
14612300,Minerais d'aluminium
14612400,Minerais de métaux précieux
14612500,Minerais de plomb
14612600,Minerais de zinc
14612700,Minerais d'étain
14613000,Minerais d'uranium et de thorium
14613100,Minerais d'uranium
14613200,Minerais de thorium
14614000,Minerais divers
14620000,Alliages
14621000,Ferroalliages
14621100,Ferroalliages hors CECA
14621110,Ferromanganèse
14621120,Ferrochrome
14621130,Ferronickel
14622000,Acier
14630000,"Scories, laitier, déchets et débris ferreux"
14700000,Métaux de base
14710000,"Fer, plomb, zinc, étain et cuivre"
14711000,Fer
14711100,Fonte brute
14712000,Plomb
14713000,Zinc
14714000,Étain
14715000,Cuivre
14720000,"Aluminium, nickel, scandium, titane et vanadium"
14721000,Aluminium
14721100,Oxyde d'aluminium
14722000,Nickel
14723000,Scandium
14724000,Titane
14725000,Vanadium
14730000,"Chrome, manganèse, cobalt, yttrium et zirconium"
14731000,Chrome
14732000,Manganèse
14733000,Cobalt
14734000,Yttrium
14735000,Zirconium
14740000,"Molybdène, technétium, ruthénium et rhodium"
14741000,Molybdène
14742000,Technétium
14743000,Ruthénium
14744000,Rhodium
14750000,"Cadmium, lutétium, hafnium, tantale et tungstène"
14751000,Cadmium
14752000,Lutétium
14753000,Hafnium
14754000,Tantale
14755000,Tungstène
14760000,"Iridium, gallium, indium, thallium et barium"
14761000,Iridium
14762000,Gallium
14763000,Indium
14764000,Thallium
14765000,Barium
14770000,"Césium, strontium, rubidium et calcium"
14771000,Césium
14772000,Strontium
14773000,Rubidium
14774000,Calcium
14780000,"Potassium, magnésium, sodium et lithium"
14781000,Potassium
14782000,Magnésium
14783000,Sodium
14784000,Lithium
14790000,"Niobium, osmium, rhénium et palladium"
14791000,Niobium
14792000,Osmium
14793000,Rhénium
14794000,Palladium
14800000,Produits minéraux non métalliques divers
14810000,Produits abrasifs
14811000,"Pierres à meuler, pierres à broyer et meules"
14811100,Pierres à meuler
14811200,Pierres à broyer
14811300,Meules
14812000,Poudre ou grains abrasifs
14813000,Corindon artificiel
14814000,Graphite artificiel
14820000,Verre
14830000,Fibres de verre
14900000,Matières premières de récupération
14910000,Matières premières métalliques de récupération
14920000,Matières premières non métalliques de récupération
14930000,Cendres et résidus contenant des métaux
15000000,"Produits alimentaires, boissons, tabac et produits connexes"
15100000,"Produits de l'élevage, viande et produits à base de viande"
15110000,Viande
15111000,Viande bovine
15111100,Viande de bœuf
15111200,Viande de veau
15112000,Volaille
15112100,Volaille fraîche
15112110,Oies
15112120,Dindes
15112130,Poulets
15112140,Canards
15112300,Foies de volaille
15112310,Foie gras
15113000,Viande de porc
15114000,Abats
15115000,Viande d'agneau et de mouton
15115100,Viande d'agneau
15115200,Viande de mouton
15117000,Viande de chèvre
15118000,"Viande de cheval, d'âne, de mule ou de bardot"
15118100,Viande de cheval
15118900,"Viande d'âne, de mule ou de bardot"
15119000,Viandes diverses
15119100,Viande de lapin
15119200,Viande de lièvre
15119300,Gibier
15119400,Cuisses de grenouilles
15119500,Pigeons
15119600,Chair de poisson
15130000,Produits à base de viande
15131000,Conserves et préparations à base de viande
15131100,Produits à base de chair à saucisse
15131110,Chair à saucisse
15131120,Charcuterie
15131130,Saucisses
15131134,Boudin noir et autres saucisses à base de sang
15131135,Saucisses de volaille
15131200,"Viande séchée, salée, fumée ou assaisonnée"
15131210,Jambon fumé
15131220,Lard
15131230,Salami
15131300,Préparations à base de foie
15131310,Pâté
15131320,Préparations à base de foie d'oie ou de canard
15131400,Produits à base de porc
15131410,Jambon
15131420,Boulettes de viande
15131490,Plats préparés de porc
15131500,Produits à base de volaille
15131600,Produits à base de bœuf et de veau
15131610,Boulettes de bœuf
15131620,Viande de bœuf hachée
15131640,Steaks hachés de bœuf
15131700,Préparations à base de viande
15200000,Poisson préparé et conserves de poisson
15210000,"Filets de poisson, foie et œufs ou laitance de poisson"
15211000,Filets de poisson
15211100,Filets de poisson frais
15212000,Œufs ou laitance de poisson
15213000,Foie de poisson
15220000,"Poisson, filets de poisson et autre chair de poisson congelés"
15221000,Poisson congelé
15229000,Produits congelés à base de poisson
15230000,Poisson séché ou salé; poisson en saumure; poisson fumé
15231000,Poisson séché
15232000,Poisson salé
15233000,Poisson en saumure
15234000,Poisson fumé
15235000,Conserves de poisson
15240000,Poisson en conserve ou en boîte et autres poissons préparés ou en conserve
15241000,"Poisson pané ou autrement enrobé, en conserve ou en boîte"
15241100,Saumon en conserve
15241200,Hareng préparé ou en conserve
15241300,Sardines
15241400,Thon en conserve
15241500,Maquereaux
15241600,Anchois
15241700,Bâtonnets de poisson
15241800,Préparations à base de poisson pané ou autrement enrobé
15242000,Plats préparés de poisson
15243000,Préparations à base de poisson
15244000,Caviar et œufs de poissons
15244100,Caviar
15244200,Œufs de poissons
15250000,Fruits de mer
15251000,Crustacés congelés
