codeCPV_2,codeCPV_FR
33115000,Appareils de tomographie
33115100,Tomodensitomètres
33115200,Tomographes axiaux transverses couplés avec un ordinateur
33120000,Systèmes d'enregistrement et appareils d'exploration
33121000,Système d'enregistrement ambulatoire de longue durée
33121100,Électroencéphalographes
33121200,Appareils de scintigraphie
33121300,Électromyographes
33121400,Audiomètres
33121500,Électrocardiogramme
33122000,Équipement d'ophthalmologie
33123000,Matériel pour exploration cardio-vasculaire
33123100,Tensiomètre
33123200,Appareils d'électrocardiographie
33123210,Système de surveillance cardiaque
33123220,Angiocardiographie
33123230,Cardiographes
33124000,Équipements et matériels de diagnostic et de radiodiagnostic
33124100,Appareils de diagnostic
33124110,Systèmes de diagnostic
33124120,Appareils de diagnostic à ultrasons
33124130,Fournitures pour diagnostic
33124131,Bandelettes réactives
33124200,Équipements de radiodiagnostic
33124210,Matériels de radiodiagnostic
33125000,Matériel pour exploration urologique
33126000,Équipement pour stomatologie
33127000,Équipement pour immuno-analyse
33128000,Laser médical autre que chirurgical
33130000,Instruments et appareils de dentisterie et de ses sous-spécialités
33131000,Instruments dentaires
33131100,Instruments de chirurgie dentaire
33131110,"Pinces, brosses, écarteurs et brunissoirs dentaires"
33131111,Pinces dentaires
33131112,Brosses dentaires
33131113,Écarteurs dentaires
33131114,Brunissoirs dentaires
33131120,"Instruments de cryochirurgie dentaire, jauges de profondeur, élévateurs et excavateurs dentaires"
33131121,Instruments de cryochirurgie dentaire
33131122,Jauges de profondeur dentaire
33131123,Élévateurs dentaires
33131124,Excavateurs dentaires
33131130,Protections de doigt à usage dentaire et daviers
33131131,Protections de doigt à usage dentaire
33131132,Daviers
33131140,Miroirs dentaires et alésoirs dentaires
33131141,Miroirs dentaires
33131142,Alésoirs dentaires
33131150,"Poinçons pour apex de la racine dentaire, instruments à détartrer et échelles dentaires"
33131151,Poinçons pour apex de la racine dentaire
33131152,Instruments à détartrer
33131153,Échelles dentaires
33131160,Ciseaux et bistouris dentaires
33131161,Ciseaux dentaires
33131162,Bistouris dentaires
33131170,"Spatules dentaires, brucelles et spatules pour cire dentaire"
33131171,Spatules dentaires
33131172,Brucelles dentaires
33131173,Spatules pour cire dentaire
33131200,Aiguilles dentaires à suture
33131300,Instruments dentaires à usage unique
33131400,Sonde dentaire
33131500,Instrument d'extraction
33131510,Forets dentaires
33131600,Instrument d'obturation
33132000,Implant utilisé en odontostomatologie
33133000,Petit matériel pour empreintes dentaires
33134000,Petit matériel d'endodontie
33135000,Dispositifs orthodontiques
33136000,Instrument rotatif et abrasif
33137000,Petit matériel de prophylaxie dentaire
33138000,Produits pour prothèses et rebasage
33138100,Dentiers
33140000,Consommables médicaux
33141000,Consommables médicaux autres que chimiques à usage unique et consommables hématologiques
33141100,"Pansements; clips, sutures, ligatures"
33141110,Pansements
33141111,Pansements adhésifs
33141112,Sparadraps
33141113,Bandages
33141114,Gaze à usage médical
33141115,Ouate médicale
33141116,Tampons et compresses
33141117,Ouate
33141118,Compresses de gaze
33141119,Compresses
33141120,"Clips, sutures, ligatures"
33141121,Sutures chirurgicales
33141122,Agrafes chirurgicales
33141123,Collecteurs d'aiguilles
33141124,Collecteurs d'instruments pointus et tranchants
33141125,Matériel de suture chirurgical
33141126,Ligatures
33141127,Hémostatiques résorbables
33141128,Aiguilles à sutures
33141200,Cathéters
33141210,Cathéters à ballonnet
33141220,Canules
33141230,Dilatateur
33141240,Accessoires de cathéter
33141300,Dispositifs de ponction veineuse et de prélèvement sanguin
33141310,Seringues
33141320,Aiguilles à usage médical
33141321,Aiguilles d'anesthésie
33141322,Aiguilles à usage artériel
33141323,Aiguilles de biopsie
33141324,Aiguilles de dialyse
33141325,Aiguillles à fistule
33141326,Aiguilles de radiologie
33141327,Aiguilles ventilées
33141328,Aiguilles de péridurale
33141329,Aiguillles d'amniocentèse
33141400,Coupe-fil métallique et bistouri; gants de chirurgie
33141410,Coupe-fil métallique et bistouri
33141411,Bistouris et lames
33141420,Gants de chirurgie
33141500,Consommables hématologiques
33141510,Produits sanguins
33141520,Dérivés plasmatiques
33141530,Coagulants sanguins
33141540,Albumine
33141550,Héparine
33141560,Organes humains
33141570,Sang humain
33141580,Sang animal
33141600,"Collecteur et poches, drainage et kits"
33141610,Poches
33141613,Poches à sang
33141614,Poches à plasma
33141615,Poches à urine
33141620,Trousses médicales
33141621,Kit d'incontinence
33141622,Kits de prévention du sida
33141623,Kits de secours
33141624,Kits d'administration
33141625,Kits de diagnostic
33141626,Kits de dosage
33141630,Filtres à plasma sanguin
33141640,Drain
33141641,Sondes
33141642,Accessoires de drain
33141700,Fournitures orthopédiques
33141710,Béquilles
33141720,Aides à la marche
33141730,Minerves
33141740,Chaussures orthopédiques
33141750,Articulations artificielles
33141760,Attelles
33141770,"Appareils pour fractures, broches et plaques"
33141800,Consommables dentaires
33141810,Produits d'obturation dentaire
33141820,Dents
33141821,Dents artificielles en céramique
33141822,Dents artificielles en résine acrylique
33141830,Fond de cavité en ciment
33141840,Hémostatique dentaire
33141850,Produits d'hygiène dentaire
33141900,Lancettes à saigner
33150000,"Appareils de radiothérapie, de mécanothérapie, d'électrothérapie et de physiothérapie"
33151000,Appareils et fournitures pour radiothérapie
33151100,Appareils de gammathérapie
33151200,Appareils de radiothérapie
33151300,Spectrographes
33151400,Fournitures pour radiothérapie
33152000,Incubateurs
33153000,Lithotriteur
33154000,Appareils de mécanothérapie
33155000,Équipement de physiothérapie
33156000,Matériel pour tests psychologiques
33157000,Oxygénothérapie et assistance respiratoire
33157100,Masques pour gaz médicaux
33157110,Masque pour oxygénothérapie
33157200,Kits d'oxygène
33157300,Tentes à oxygène
33157400,Respirateurs médicaux
33157500,Caissons hyperbares
33157700,Barboteur pour oxygénothérapie
33157800,Dispositif d'administration d'oxygène
33157810,Installation d'oxygénothérapie
33158000,"Thérapie électrique, électromagnétique et mécanique"
33158100,Système électromagnétique
33158200,Équipement pour électrothérapie
33158210,Stimulateur
33158300,Équipement ultraviolet à usage médical
33158400,Matériel de thérapie mécanique
33158500,Équipement infrarouge à usage médical
33159000,Système de chimie clinique
33160000,Techniques opératoires
33161000,Installation d'électrochirurgie
33162000,Appareils et instruments pour bloc opératoire
33162100,Équipement pour bloc opératoire
33162200,Instruments pour bloc opératoire
33163000,Tente à usage médical
33164000,Équipement pour cœlioscopie
33164100,Colposcope
33165000,Équipement pour cryochirurgie et cryothérapie
33166000,Équipements et instruments pour dermatologie
33167000,Éclairage opératoire
33168000,Appareils d'endoscopie et d'endochirurgie
33168100,Endoscopes
33169000,Instruments de chirurgie
33169100,Laser chirurgical
33169200,Paniers à usage chirurgical
33169300,Plateaux à usage chirurgical
33169400,Conteneurs à usage chirurgical
33169500,Systèmes de suivi et de traçabilité chirurgicaux
33170000,Anesthésie et réanimation
33171000,Instruments d'anesthésie et de réanimation
33171100,Instruments pour l'anesthésie
33171110,Masque d'anesthésie-réanimation
33171200,Instruments de réanimation
33171210,Masque laryngé d'anesthésie-réanimation
33171300,Kits ou ensembles pour péridurale
33172000,Appareils d'anesthésie et de réanimation
33172100,Appareils d'anesthésie
33172200,Appareils de réanimation
33180000,Assistance fonctionnelle
33181000,Appareils de suppléance rénale
33181100,Appareils d'hémodialyse
33181200,Filtres pour dialyse
33181300,Moniteur individuel pour hémodialyse
33181400,Multiposte pour hémodialyse
33181500,Consommables rénaux
33181510,Fluide rénal
33181520,Consommables pour dialyse rénale
33182000,Appareils de suppléance cardiaque
33182100,Défibrillateur
33182200,Système de stimulation cardiaque
33182210,Stimulateur cardiaque
33182220,Valves cardiaques
33182230,Ventricule
33182240,Pièces et accessoires pour stimulateurs cardiaques
33182241,Piles pour stimulateurs cardiaques
33182300,Appareils et instruments de chirurgie cardiaque
33182400,Radiologie cardiaque
33183000,Suppléance orthopédique
33183100,Implants orthopédiques
33183200,Prothèses orthopédiques
33183300,Matériel d'ostéosynthèse
33184000,Prothèses
33184100,Implants chirurgicaux
33184200,Prothèses vasculaires
33184300,Prothèses cardiaques
33184400,Implants mammaires
33184410,Prothèses mammaires internes
33184420,Prothèses mammaires externes
33184500,Endoprothèses coronariennes
33184600,Yeux artificiels
33185000,Prothèses auditives
33185100,Pièces et accessoires pour prothèses auditives
33185200,Implant cochléaire
33185300,Implant ORL
33185400,Larynx artificiel
33186000,Circulation extracorporelle (CEC)
33186100,Oxygénateur
33186200,Chauffage du sang et des fluides
33190000,Appareils et instruments médicaux divers
33191000,"Dispositifs de stérilisation, de désinfection et d'hygiène"
33191100,Stérilisateur
33191110,Autoclaves
33192000,Mobilier médical
33192100,Lits médicaux
33192110,Lits orthopédiques
33192120,Lits d'hôpital
33192130,Lits à moteur
33192140,Divans d'examen psychiatrique
33192150,Lits spécialisés
33192160,Chariots-brancards
33192200,Tables médicales
33192210,Tables d'examen
33192230,Tables d'opération
33192300,"Mobilier médical, excepté lits et tables"
33192310,Dispositifs de traction et de suspension pour lits médicaux
33192320,Porte-urinaux
33192330,Potences de transfusion
33192340,"Mobilier pour bloc opératoire, excepté tables"
33192350,Mobilier pour cultures à des fins médicales
33192400,Unités dentaires
33192410,Fauteuils dentaires
33192500,Éprouvettes
33192600,Matériels de levage pour le secteur des soins de santé
33193000,"Véhicules pour handicapés physiques, fauteuils roulants et dispositifs assimilés"
33193100,Véhicules pour handicapés physiques et fauteuils roulants
33193110,Véhicules pour handicapés physiques
33193120,Fauteuils roulants
33193121,Fauteuils roulants à énergie motrice
33193200,Pièces et acccessoires de véhicules pour handicapés physiques et de fauteuils roulants
33193210,Pièces et acccessoires de véhicules pour handicapés physiques
33193211,Moteurs de véhicules pour handicapés physiques
33193212,Dispositifs de direction de véhicules pour handicapés physiques
33193213,Dispositifs de commande de véhicules pour handicapés physiques
33193214,Châssis de véhicules pour handicapés physiques
33193220,Pièces et accessoires pour fauteuils roulants
33193221,Coussins pour fauteuils roulants
33193222,Bâtis de fauteuils roulants
33193223,Sièges pour fauteuils roulants
33193224,Roues de fauteuils roulants
33193225,Pneus pour chaises roulantes
33194000,Appareils et instruments de transfusion et de perfusion
33194100,Appareils et instruments pour perfusion
33194110,Pompes à perfusion
33194120,Fournitures pour perfusion
33194200,Appareils et instruments pour transfusion
33194210,Appareils de transfusion sanguine
33194220,Matériels de transfusion sanguine
33195000,Système de surveillance des patients
33195100,Moniteurs
33195110,Moniteurs respiratoires
33195200,Poste central de surveillance
33196000,Aides médicales
33196100,Équipement pour personnes âgées
33196200,Équipement pour handicapés
33197000,Matériel informatique à usage médical
33198000,Articles en papier à usage hospitalier
33198100,Compresses en papier
33198200,Sachets ou enveloppes en papier pour stérilisation
33199000,Vêtements pour personnel médical
33600000,Produits pharmaceutiques
33610000,Médicaments des voies digestives et du métabolisme
33611000,Médicaments contre les troubles liés à l'hyperacidité
33612000,Médicaments contre les troubles gastro-intestinaux fonctionnels
33613000,Laxatifs
33614000,"Antidiarrhéiques, anti-inflammatoires et anti-infectieux intestinaux"
33615000,Médicaments du diabète
33615100,Insuline
33616000,Vitamines
33616100,Provitamines
33617000,Suppléments minéraux
33620000,"Médicaments du sang, des organes hématopoïétiques et du système cardio-vasculaire"
33621000,Médicaments du sang et des organes hématopoïétiques
33621100,Antithrombotiques
33621200,Antihémorragiques
33621300,Préparations antianémiques
33621400,Substituts de plasma sanguin et solutions pour perfusions
33622000,Médicaments du système cardio-vasculaire
33622100,Médicaments utilisés en cardiologie
33622200,Antihypertenseurs
33622300,Diurétiques
33622400,Vasculoprotecteurs
33622500,Antihémorroïdaires à usage topique
33622600,Bêta-bloquants
33622700,Inhibiteurs calciques
33622800,Médicaments agissant sur le système rénine-angiotensine
33630000,Médicaments utilisés en dermatologie et pour le système squelettique et musculaire
33631000,Médicaments utilisés en dermatologie
33631100,Antifongiques à usage dermatologique
33631110,Acides salicyliques
33631200,Émollients et protecteurs
33631300,Médicaments contre le psoriasis
33631400,Antibiotiques et médicaments chimiothérapeutiques à usage dermatologique
33631500,Corticostéroïdes à usage dermatologique et préparations dermatologiques
33631600,Antiseptiques et désinfectants
33631700,Préparations antiacnéiques
33632000,Médicaments du système squelettique et musculaire
33632100,Anti-inflammatoires et antirhumatismaux
33632200,Myorelaxants
33632300,Préparations contre la goutte
33640000,Médicaments du système génito-urinaire et hormones
33641000,Médicaments du système génito-urinaire et hormones sexuelles
33641100,Anti-infectieux et antiseptiques gynécologiques
33641200,Autres médicaments gynécologiques
33641300,Hormones sexuelles et modulateurs de la fonction génitale
33641400,Contraceptifs
33641410,Contraceptifs oraux
33641420,Contraceptifs chimiques
33642000,"Préparations hormonales systémiques, hormones sexuelles exclues"
33642100,"Hormones hypophysaires, hypothalamiques et analogues"
33642200,Corticostéroïdes à usage systémique
33642300,Thérapeutique thyroïdienne
33650000,"Anti-infectieux généraux à usage systémique, vaccins, antinéoplasiques et immunomodulateurs"
33651000,Anti-infectieux généraux à usage systémique
33651100,Antibactériens à usage systémique
33651200,Antimycosiques à usage systémique
33651300,Antimycobactériens
33651400,Antiviraux à usage systémique
33651500,Immun-sérums et immunoglobulines
33651510,Antisérums
33651520,Immunoglobulines
33651600,Vaccins
33651610,"Vaccins antidiphtérie, anticoqueluche et antitétanos"
33651620,Vaccins antidiphtérie et antitétanos
33651630,Vaccins BCG (secs)
33651640,"Vaccins ROR (rougeole, oreillons, rubéole)"
33651650,Vaccins antityphus
33651660,Vaccins antigrippe
33651670,Vaccins antipolio
33651680,Vaccins antihépatite B
33651690,Vaccins à usage vétérinaire
33652000,Antinéoplasiques et immunomodulateurs
33652100,Antinéoplasiques
33652200,Thérapeutique endocrine
33652300,Immunosuppresseurs
33660000,Médicaments du système nerveux et des organes sensoriels
33661000,Médicaments du système nerveux
33661100,Anesthésiques
33661200,Analgésiques
33661300,Antiépileptiques
33661400,Antiparkinsoniens
33661500,Psycholeptiques
33661600,Psychoanaleptiques
33661700,Autres médicaments du système nerveux
33662000,Médicaments des organes sensoriels
33662100,Médicaments ophtalmologiques
33670000,Médicaments du système respiratoire
33673000,Médicaments contre les maladies obstructives des voies respiratoires
33674000,Médicaments de la toux et du rhume
33675000,Antihistaminiques à usage systémique
33680000,Articles de pharmacie
33681000,"Tétines, téterelles et articles similaires pour nourrissons"
33682000,Dalles en caoutchouc
33683000,Butoirs en caoutchouc
33690000,Médicaments divers
33691000,"Produits antiparasitaires, insecticides et insectifuges"
33691100,Antiprotozoaires
33691200,Antihelminthiques
33691300,"Médicaments contre les ectoparasites, y compris scabicides, insecticides et insectifuges"
33692000,Solutions médicamenteuses
33692100,Solutions pour infusions
33692200,Produits de nutrition parentérale
33692210,Solutions d'alimentation parentérale
33692300,Produits d'alimentation entérale
33692400,Solutions pour perfusions
33692500,Solutions injectables
33692510,Liquides intraveineux
33692600,Solutions galéniques
33692700,Solutions de glucose
33692800,Solutions de dialyse
33693000,Tous les autres produits thérapeutiques
33693100,Toxines
33693200,Succédanés de nicotine
33693300,Traitement de l'addiction
33694000,Agents diagnostiques
33695000,Tous les autres produits non thérapeutiques
33696000,Réactifs et produits de contraste
33696100,Réactifs de groupage sanguin
33696200,Réactifs pour analyses de sang
33696300,Réactifs chimiques
33696400,Réactifs isotopiques
33696500,Réactifs de laboratoire
33696600,Réactifs d'électrophorèse
33696700,Réactifs d'urologie
33696800,Produits de contraste à usage radiologique
33697000,"Préparations médicales, excepté consommables dentaires"
33697100,Préparations pour lavements
33697110,Ciments de reconstruction osseuse
33698000,Produits à usage clinique
33698100,Cultures microbiologiques
33698200,Glandes et leurs extraits
33698300,Substances peptiques
33700000,Produits de soins personnels
33710000,"Parfums, produits de toilette et condoms"
33711000,Parfums et produits de toilette
33711100,Eaux de toilette
33711110,Déodorants
33711120,Antisudoraux
33711130,Eaux de Cologne
33711140,Fragrances
33711150,Eau de rose
33711200,Produits de maquillage
33711300,Produits de manucure ou de pédicure
33711400,Produits de beauté
33711410,Coton-Tiges
33711420,Kits de maquillage
33711430,Serviettes personnelles à jeter
33711440,Pommade pour les lèvres
33711450,Tatouages
33711500,Produits de soins de la peau
33711510,Produits de protection solaire
33711520,Gels de bain
33711530,Bonnets de douche
33711540,Crèmes ou lotions parapharmaceutiques
33711600,Préparation et articles capillaires
33711610,Shampooings
33711620,Peignes
33711630,Perruques
33711640,Nécessaires de toilette
33711700,Articles et préparations pour hygiène orale ou dentaire
33711710,Brosses à dents
33711720,Dentifrice
33711730,Cure-dents
33711740,Bain de bouche
33711750,Bains de bouche rafraîchissants
33711760,Fil dentaire
33711770,"Anneau dentaire, tétine, sucette"
33711780,Pastilles de produit de nettoyage pour appareils dentaires
33711790,Kits d'hygiène dentaire
33711800,Produits de rasage
33711810,Crèmes à raser
33711900,Savon
33712000,Préservatifs
33713000,Produits de soin pour les pieds
33720000,Rasoirs et trousses de manucure ou de pédicure
33721000,Rasoirs
33721100,Lames de rasoir
33721200,Rasoirs électriques
33722000,Trousses de manucure ou de pédicure
33722100,Trousses de manucure
33722110,Accessoires de manucure
33722200,Trousses de pédicure
33722210,Accessoires de pédicure
33722300,Barrettes
33730000,Produits pour le soin des yeux et verres correcteurs
33731000,Verres de contact
33731100,Verres correcteurs
33731110,Lentilles intra-oculaires
33731120,Verres de lunettes
33732000,Lotions pour verres de contact
33733000,Lunettes de soleil
33734000,Lunettes
33734100,Montures de lunettes et logements d'oculaires
33734200,Verre à lunettes
33735000,Lunettes masques
33735100,Lunettes de protection
33735200,Montures et logements d'oculaires de lunettes de protection
33740000,Produits de soins pour mains et ongles
33741000,Produits de soins pour mains
33741100,Produits nettoyants pour les mains
33741200,Lotions pour mains ou lotions corporelles
33741300,Produits désinfectants pour les mains
33742000,Produits de soins pour les ongles
33742100,Coupe-ongles
33742200,Vernis à ongles
33750000,Produits de soins pour bébés
33751000,Langes jetables
33752000,Coussinets d'allaitement
33760000,"Papier hygiénique, mouchoirs, essuie-mains et serviettes de table"
33761000,Papier hygiénique
33762000,Mouchoirs en papier
33763000,Essuie-mains en papier
33764000,Serviettes de table en papier
33770000,Articles en papier à usage sanitaire
33771000,Produits en papier à usage sanitaire
33771100,Serviettes hygiéniques ou tampons
33771200,Couches en papier
33772000,Articles jetables en papier
33790000,"Verrerie de laboratoire, d'hygiène ou de pharmacie"
33791000,Verrerie d'hygiène
33792000,Verrerie de pharmacie
33793000,Verrerie de laboratoire
33900000,Équipement et fournitures pour autopsie et à usage mortuaire
33910000,Instruments et fournitures pour dissection
33911000,Ciseaux pour autopsie
33912000,Trousses de dissection pour autopsie
33912100,Pinces à dissection pour autopsie
33913000,Sondes de localisation de balles pour autopsie
33914000,"Fils, aiguilles et agrafes pour incision pour autopsie"
33914100,Fils pour autopsie
33914200,Aiguilles pour autopsie
33914300,"Agrafes pour incision, pour autopsie"
33915000,Sondes canelées pour autopsie
33916000,Lames ou accessoires de scie pour autopsie
33916100,Scies pour autopsie
33917000,Planches ou blocs de dissection
33918000,Trousses pour instruments ou accessoires de chirurgie pour autopsie
33919000,Trousses enroulables pour instruments ou accessoires pour autopsie
33920000,Équipement et fournitures pour autopsie
33921000,Collecteurs de poussières d'os
33922000,Housses de transport de corps
33923000,"Repose-têtes, plans durs ou balances suspendues pour autopsie"
33923100,Repose-têtes pour autopsie
33923200,Plans durs pour autopsie
33923300,Balances suspendues pour autopsie
33924000,Kits maladies infectieuse pour autopsie
33925000,Etiquettes ou bracelets d'identification pour autopsie
33926000,Aspirateurs à liquides ou tubulures pour autopsie
33927000,Thermomètres rectaux pour autopsie
33928000,Redresseurs de doigts pour autopsie
33929000,Kits de reconstitution des tissus
33930000,Mobilier pour autopsie
33931000,Stations de travail ou accessoires pour autopsie macroscopique
33932000,Éviers ou accessoires pour autopsie
33933000,Tables pour autopsie ou accessoires
33933100,Tables d'autopsie
33934000,Tables ou accessoires pour nécropsie
33935000,Tables de dissection ou accessoires pour dissection d'animaux
33936000,Stations de travail ou accessoires pour embaumement
33937000,Stations de travail pour autopsie avec dispositif d'évacuation des liquides corporels ou accessoires
33940000,Équipement et fournitures de transport et de conservation des cadavres
33941000,Casiers de conservation des cadavres
33942000,Dispositifs de transport de cadavres
33943000,Chariots élévateurs pour les cadavres
33944000,Armoires réfrigérées ou congélateurs pour morgue
33945000,Chambres froides pour morgue
33946000,Chariots pour autopsie
33947000,Plateaux pour cadavres
33948000,Élévateurs ou dispositifs de transfert pour cadavres
33949000,Conteneurs de transport des corps
33950000,Équipement et fournitures cliniques médico-légales
33951000,Matériel de prise d'empreintes digitales pour autopsie
33952000,Masques antiputréfaction
33953000,Kits ou fournitures de dépistage sanguin pour autopsie
33954000,Kits de prélèvement d'éléments biologiques
33960000,Équipement et fournitures pour embaumement
33961000,Injecteurs pour cavités pour embaumement
33962000,Tubes de drainage de veine pour embaumement
33963000,Traitements chimiques ou fluides pour embaumement
33964000,Tubes pour injecteur d'embaumement
33965000,Éviers ou accessoires pour embaumement
33966000,Kits d'embaumement
33967000,Aiguilles d'injecteur pour embaumement
33968000,Couvre-yeux
33970000,Matériel et fournitures mortuaires
33971000,Tenues mortuaires
33972000,Packs mortuaires
33973000,Housses mortuaires
33974000,Aspirateurs à usage mortuaire
33975000,Agents de durcissement à usage mortuaire
34000000,Équipement de transport et produits auxiliaires pour le transport
34100000,Véhicules à moteur
34110000,Voitures particulières
34111000,Breaks et berlines
34111100,Breaks
34111200,Berlines
34113000,Véhicules à quatre roues motrices
34113100,Jeeps
34113200,Véhicules tout terrain
34113300,Quatre-quatre
34114000,Véhicules à usage spécial
34114100,Véhicules de secours
34114110,Véhicules de sauvetage
34114120,Véhicules à usage paramédical
34114121,Ambulances
34114122,Véhicules de transport de patients
34114200,Voitures de police
34114210,Fourgons cellulaires
34114300,Véhicules pour services d'assistance sociale
34114400,Minibus
34115000,Autres véhicules particuliers
34115200,Véhicules à moteur pour le transport de moins de dix personnes
34115300,Véhicules de transport d'occasion
34120000,Véhicules à moteur servant au transport de dix personnes ou plus
34121000,Autobus et cars
34121100,Autobus publics
34121200,Autobus articulés
34121300,Autobus à impériale
34121400,Autobus à plancher surbaissé
34121500,Autocars
34130000,Véhicules à moteur servant au transport de marchandises
34131000,Camionnettes à espace ouvert à l'arrière (pick-up)
34132000,Traîneaux à moteur
34133000,Camions articulés
34133100,Camions-citernes
34133110,Camions-citernes à essence
34134000,Camions à carrosserie ouverte et à plate-forme
34134100,Camions à carrosserie ouverte
34134200,Camions à benne basculante
34136000,Fourgons intégrés
34136100,Fourgonnettes
34136200,Fourgons tôlés
34137000,Véhicules d'occasion servant au transport de marchandises
34138000,Tracteurs routiers
34139000,Châssis
34139100,Châssis-cabines
34139200,Châssis avec carrosseries
34139300,Châssis complets
34140000,Poids lourds
34142000,Camions-grues et camions à plate-forme élévatrice
34142100,Camions à plate-forme élévatrice
34142200,Bacs-chargeurs
34142300,Tombereaux
34143000,Véhicules de service hivernal
34144000,Véhicules automobiles à usage spécifique
34144100,Tours de forage mobiles
34144200,Véhicules des services de secours
34144210,Véhicules de lutte contre l'incendie
34144211,Camions de lutte contre l'incendie à échelle pivotante
34144212,Fourgons pompe-tonne
34144213,Véhicules d'incendie
34144220,Dépanneuses
34144300,Ponts mobiles
34144400,Véhicules d'entretien routier
34144410,Camions de vidange
34144420,Saleuses
34144430,Balayeuses
34144431,Balayeuses aspiratrices
34144440,Gravillonneuses
34144450,Arroseuses de voirie
34144500,Véhicules pour ordures et eaux usées
34144510,Véhicules pour ordures
34144511,Bennes à ordures
34144512,Véhicules de compactage des ordures ménagères
34144520,Camions-citernes pour eaux usées
34144700,Véhicules utilitaires
34144710,Chargeurs sur roues
34144730,Véhicules d'avitaillement
34144740,Tracteurs d'avions
34144750,Porte-charges
34144751,Chariots-cavaliers
34144760,Bibliobus
34144800,Caravanes résidentielles
34144900,Véhicules électriques
34144910,Autobus électriques
34150000,Simulateurs
34151000,Simulateurs de conduite
34152000,Simulateurs de formation
34200000,"Carrosseries, remorques ou semi-remorques de véhicules"
34210000,Carrosseries de véhicules
34211000,"Carrosseries d'autobus, carrosseries d'ambulances et carrosseries de véhicules servant au transport de marchandises"
34211100,Carrosseries d'autobus
34211200,Carrosseries d'ambulances
34211300,Carrosseries de véhicules servant au transport de marchandises
34220000,"Remorques, semi-remorques et conteneurs mobiles"
34221000,Conteneurs mobiles à usage spécifique
34221100,Unités mobiles de secours
34221200,Unités mobiles d'intervention d'urgence
34221300,Unité d'intervention en cas d'accident chimique
34223000,Remorques et semi-remorques
34223100,Semi-remorques
34223200,Avitailleurs
34223300,Remorques
34223310,Remorques à usage général
34223320,Remorques pour le transport de chevaux
34223330,Unités mobiles sur remorques
34223340,Remorques-citernes
34223350,Remorques à échelle pivotante
34223360,Remorques d'avitaillement
34223370,Remorques à benne basculante
34223400,Remorques et semi-remorques de type caravane
34224000,"Pièces détachées pour remorques, semi-remorques et autres véhicules"
34224100,Pièces pour remorques et semi-remorques
34224200,Pièces pour autres véhicules
34300000,Pièces détachées et accessoires pour véhicules et moteurs de véhicules
34310000,Moteurs et pièces de moteurs (véhicules)
34311000,Moteurs (véhicules)
34311100,Moteurs à combustion interne pour véhicules à moteur et motocycles
34311110,Moteurs à allumage par étincelles
34311120,Moteurs à allumage par compression
34312000,Pièces de moteurs
34312100,Courroies de ventilateur
34312200,Bougies d'allumage
34312300,Radiateurs pour véhicules
34312400,Pistons
34312500,Joints d'étanchéité
34312600,Bandes convoyeuses en caoutchouc
34312700,Courroies de transmission en caoutchouc
34320000,"Pièces de rechange mécaniques, excepté moteurs et parties de moteurs"
34321000,Essieux et boîtes de vitesses
34321100,Essieux
34321200,Boîtes de vitesses
34322000,Freins et pièces de freins
34322100,Équipements de freins
34322200,Freins à disque
34322300,Garnitures de frein
34322400,Plaquettes de frein
34322500,Mâchoires de frein
34324000,"Roues, pièces détachées et accessoires"
34324100,Matériel d'équilibrage des roues
34325000,Silencieux et tuyaux d'échappement
34325100,Silencieux
34325200,Tuyaux d'échappement
34326000,"Vérins pour véhicules, embrayages et pièces connexes"
34326100,Embrayages et pièces d'embrayages
34326200,Vérins pour véhicules
34327000,"Volants, colonnes et boîtiers de direction"
34327100,Volants
34327200,Colonnes et boîtiers de direction
34328000,"Bancs d'essai, kits de conversion de véhicules et ceintures de sécurité"
34328100,Bancs d'essai
34328200,Kits de conversion de véhicules
34328300,Ceintures de sécurité
34330000,"Pièces de rechanges pour poids lourds, camionnettes et automobiles"
34350000,Pneus pour charges légères et lourdes
34351000,Pneus pour charges légères
34351100,Pneus pour voitures
34352000,Pneus pour fortes charges
34352100,Pneus pour camions
34352200,Pneus pour autobus
34352300,Pneus pour véhicules agricoles
34360000,Sièges pour aéronefs civils
34370000,Sièges pour véhicules à moteur
34390000,Accessoires pour tracteurs
34400000,"Motos, bicyclettes et side-cars"
34410000,Motos
34411000,Pièces détachées et accessoires pour motos
34411100,Side-cars
34411110,Pièces détachées et accessoires pour side-cars
34411200,Pneus pour motocycles
34420000,Scooters et cycles à moteur auxiliaire
34421000,Scooters
34422000,Cycles à moteur auxiliaire
34430000,Bicyclettes
34431000,Bicyclettes sans moteur
34432000,Pièces détachées et accessoires pour bicyclettes
34432100,Pneus pour bicyclettes
34500000,Navires et bateaux
34510000,Navires
34511100,Patrouilleurs maritimes
34512000,Navires et bâtiments similaires servant au transport de personnes ou de marchandises
34512100,Ferry-boats
34512200,Paquebots de croisière
34512300,Vraquiers
34512400,Cargos
34512500,Navires de marchandises
34512600,Navires porte-conteneurs
34512700,Navires transrouliers
34512800,Navires-citernes
34512900,Transbordeurs pour voitures
34512950,Navires frigorifiques
34513000,"Navires de pêche, navires de sauvetage et autres navires spécialisés"
34513100,Navires de pêche
34513150,Navires-usines
34513200,Remorqueurs
34513250,Dragues
34513300,Docks de mer flottants
34513350,Navires supports de plongée
34513400,Grues flottantes
34513450,Navires de production
34513500,Navires d'exploration sismique
